_id,name,genericName,category,manufacturer,storageCondition,barcode,taxRate,minStockLevel,isDeleted
dfdd772e3807e40a2a79cf0f,Panadol 500mg,Paracetamol,Analgesic,GSK,Room Temp,890665595850,0,20,false
bc5d8acde08251c8952b5bee,Amoxil 500mg,Amoxicillin,Antibiotic,GSK,Room Temp,890869474627,0,20,false
3172d058628bf662d0641c2e,Metformin 500mg,Metformin Hydrochloride,Antidiabetic,SPC,Room Temp,890784771008,0,20,false
350054cac45e5ae7b69aec04,Lipitor 10mg,Atorvastatin,Statin,Pfizer,Room Temp,890325106993,0,20,false
b0d1cd9d707b5af19cb60063,Cozaar 50mg,Losartan Potassium,Antihypertensive,MSD,Room Temp,890426993272,0,20,false
b1231e732af7ca155691bbb3,Omez 20mg,Omeprazole,Proton Pump Inhibitor,Dr. Reddy's,Room Temp,890217704856,0,20,false
8c56c3c61a39685b9ef06c10,Zyrtec 10mg,Cetirizine,Antihistamine,GSK,Room Temp,890634744542,0,20,false
f322a3a4c783019c5537b1ee,Brufen 400mg,Ibuprofen,NSAID,Abbott,Room Temp,890402758504,0,20,false
ce391e69d2542d345996de91,Ecotrin 81mg,Aspirin,Antiplatelet,GSK,Room Temp,890501904703,0,20,false
6cc291406970c9cec14f1c23,Plavix 75mg,Clopidogrel,Antiplatelet,Sanofi,Room Temp,890633371030,0,20,false
40195178dfb430c5b44a7e6a,Singulair 10mg,Montelukast,Bronchodilator,MSD,Room Temp,890497595511,0,20,false
1e09581578adf6bdeb94eb77,Ventolin Inhaler,Salbutamol,Bronchodilator,GSK,Room Temp,890773683701,0,20,false
82b588bca468babb2768aeab,Panafcort 5mg,Prednisolone,Corticosteroid,Aspen,Room Temp,890888551962,0,20,false
a5aea1d2fcc913298e5c52c9,Zithromax 500mg,Azithromycin,Antibiotic,Pfizer,Room Temp,890290863496,0,20,false
7c073bfaf5706bbb95e4d430,Ciprobay 500mg,Ciprofloxacin,Antibiotic,Bayer,Room Temp,890725066665,0,20,false
3fdbbe053491e0287ba3453d,Vibramycin 100mg,Doxycycline,Antibiotic,Pfizer,Room Temp,890285328784,0,20,false
